,Hotel Name,Address,Rating (5),Price (2)
5821,Fountain House,HG West Pune,4.4,1500
5822,Urban Tadka,"TS Nagar, West Pune",4.6,1100
5823,Pop Tate's,"TS Nagar, West Pune",4.4,1900
5824,Shahi Bhoj Thali Restaurant,"RS Nagar, West Pune",4.1,800
5825,Little Italy,"IS Nagar, West Pune",4.1,1500
5826,TGI Friday's,"FT Pavillion Mall,Shivaji Nagar, West Pune",4.2,2900
5827,The Poppa Cafe,"CS Bapat Road, West Pune",4.0,400
5828,Mamagoto,"MT Pavillion Mall,Shivaji Nagar, West Pune",4.4,1500
5829,Madeline,"MS Nagar, West Pune",4.4,900
5830,Cafe Deja Vu,"VS Nagar, West Pune",5.0,600
5831,Agent Jack's Bar,"BI Trade Tower,Senapati Bapat Road, West Pune",3.9,1200
5832,Mughal's,"MF Road, West Pune",5.0,1000
5833,The Iraj | Crazy Sizzlers,"SS Nagar, West Pune",5.0,1000
5834,Oregano,"OT Ambience Hotel,Model Colony, West Pune",4.9,1200
5835,High Garden,"GS Bapat Road, West Pune",4.2,1000
5836,La Mesa Cafe,"CS Nagar, West Pune",5.0,400
5837,S,"SK at Eternia RoofTopICC Trade Tower,Senapati Bapat Road, West Pune",3.9,2000
5838,Mad Over Donuts,"DT Pavillion Mall,Shivaji Nagar, West Pune",4.4,500
5839,NH 37 Dhaba,"DS Nagar, West Pune",4.4,1500
5840,Wok Toss,TG West Pune,4.7,1000
5841,Chimichurri,"CO Center Point Mall,Shivaji Nagar, West Pune",4.6,1400
5842,Fountain House,HG West Pune,4.4,1500
5843,Urban Tadka,"TS Nagar, West Pune",4.6,1100
5844,Pop Tate's,"TS Nagar, West Pune",4.4,1900
5845,Shahi Bhoj Thali Restaurant,"RS Nagar, West Pune",4.1,800
5846,Little Italy,"IS Nagar, West Pune",4.1,1500
5847,TGI Friday's,"FT Pavillion Mall,Shivaji Nagar, West Pune",4.2,2900
5848,The Poppa Cafe,"CS Bapat Road, West Pune",4.0,400
5849,Mamagoto,"MT Pavillion Mall,Shivaji Nagar, West Pune",4.4,1500
5850,Madeline,"MS Nagar, West Pune",4.4,900
5851,Cafe Deja Vu,"VS Nagar, West Pune",5.0,600
5852,Agent Jack's Bar,"BI Trade Tower,Senapati Bapat Road, West Pune",3.9,1200
5853,Mughal's,"MF Road, West Pune",5.0,1000
5854,The Iraj | Crazy Sizzlers,"SS Nagar, West Pune",5.0,1000
5855,Oregano,"OT Ambience Hotel,Model Colony, West Pune",4.9,1200
5856,High Garden,"GS Bapat Road, West Pune",4.2,1000
5857,La Mesa Cafe,"CS Nagar, West Pune",5.0,400
5858,S,"SK at Eternia RoofTopICC Trade Tower,Senapati Bapat Road, West Pune",3.9,2000
5859,Mad Over Donuts,"DT Pavillion Mall,Shivaji Nagar, West Pune",4.4,500
5860,NH 37 Dhaba,"DS Nagar, West Pune",4.4,1500
5861,Wok Toss,TG West Pune,4.7,1000
5862,Chimichurri,"CO Center Point Mall,Shivaji Nagar, West Pune",4.6,1400
5863,Fountain House,HG West Pune,4.4,1500
5864,Urban Tadka,"TS Nagar, West Pune",4.6,1100
5865,Pop Tate's,"TS Nagar, West Pune",4.4,1900
5866,Shahi Bhoj Thali Restaurant,"RS Nagar, West Pune",4.1,800
5867,Little Italy,"IS Nagar, West Pune",4.1,1500
5868,TGI Friday's,"FT Pavillion Mall,Shivaji Nagar, West Pune",4.2,2900
5869,The Poppa Cafe,"CS Bapat Road, West Pune",4.0,400
5870,Mamagoto,"MT Pavillion Mall,Shivaji Nagar, West Pune",4.4,1500
5871,Madeline,"MS Nagar, West Pune",4.4,900
5872,Cafe Deja Vu,"VS Nagar, West Pune",5.0,600
5873,Agent Jack's Bar,"BI Trade Tower,Senapati Bapat Road, West Pune",3.9,1200
5874,Mughal's,"MF Road, West Pune",5.0,1000
5875,The Iraj | Crazy Sizzlers,"SS Nagar, West Pune",5.0,1000
5876,Oregano,"OT Ambience Hotel,Model Colony, West Pune",4.9,1200
5877,High Garden,"GS Bapat Road, West Pune",4.2,1000
5878,La Mesa Cafe,"CS Nagar, West Pune",5.0,400
5879,S,"SK at Eternia RoofTopICC Trade Tower,Senapati Bapat Road, West Pune",3.9,2000
5880,Mad Over Donuts,"DT Pavillion Mall,Shivaji Nagar, West Pune",4.4,500
5881,NH 37 Dhaba,"DS Nagar, West Pune",4.4,1500
5882,Wok Toss,TG West Pune,4.7,1000
5883,Chimichurri,"CO Center Point Mall,Shivaji Nagar, West Pune",4.6,1400
5884,Fountain House,HG West Pune,4.4,1500
5885,Urban Tadka,"TS Nagar, West Pune",4.6,1100
5886,Pop Tate's,"TS Nagar, West Pune",4.4,1900
5887,Shahi Bhoj Thali Restaurant,"RS Nagar, West Pune",4.1,800
5888,Little Italy,"IS Nagar, West Pune",4.1,1500
5889,TGI Friday's,"FT Pavillion Mall,Shivaji Nagar, West Pune",4.2,2900
5890,The Poppa Cafe,"CS Bapat Road, West Pune",4.0,400
5891,Mamagoto,"MT Pavillion Mall,Shivaji Nagar, West Pune",4.4,1500
5892,Madeline,"MS Nagar, West Pune",4.4,900
5893,Cafe Deja Vu,"VS Nagar, West Pune",5.0,600
5894,Agent Jack's Bar,"BI Trade Tower,Senapati Bapat Road, West Pune",3.9,1200
5895,Mughal's,"MF Road, West Pune",5.0,1000
5896,The Iraj | Crazy Sizzlers,"SS Nagar, West Pune",5.0,1000
5897,Oregano,"OT Ambience Hotel,Model Colony, West Pune",4.9,1200
5898,High Garden,"GS Bapat Road, West Pune",4.2,1000
5899,La Mesa Cafe,"CS Nagar, West Pune",5.0,400
5900,S,"SK at Eternia RoofTopICC Trade Tower,Senapati Bapat Road, West Pune",3.9,2000
5901,Mad Over Donuts,"DT Pavillion Mall,Shivaji Nagar, West Pune",4.4,500
5902,NH 37 Dhaba,"DS Nagar, West Pune",4.4,1500
5903,Wok Toss,TG West Pune,4.7,1000
5904,Chimichurri,"CO Center Point Mall,Shivaji Nagar, West Pune",4.6,1400
5905,Fountain House,HG West Pune,4.4,1500
5906,Urban Tadka,"TS Nagar, West Pune",4.6,1100
5907,Pop Tate's,"TS Nagar, West Pune",4.4,1900
5908,Shahi Bhoj Thali Restaurant,"RS Nagar, West Pune",4.1,800
5909,Little Italy,"IS Nagar, West Pune",4.1,1500
5910,TGI Friday's,"FT Pavillion Mall,Shivaji Nagar, West Pune",4.2,2900
5911,The Poppa Cafe,"CS Bapat Road, West Pune",4.0,400
5912,Mamagoto,"MT Pavillion Mall,Shivaji Nagar, West Pune",4.4,1500
5913,Madeline,"MS Nagar, West Pune",4.4,900
5914,Cafe Deja Vu,"VS Nagar, West Pune",5.0,600
5915,Agent Jack's Bar,"BI Trade Tower,Senapati Bapat Road, West Pune",3.9,1200
5916,Mughal's,"MF Road, West Pune",5.0,1000
5917,The Iraj | Crazy Sizzlers,"SS Nagar, West Pune",5.0,1000
5918,Oregano,"OT Ambience Hotel,Model Colony, West Pune",4.9,1200
5919,High Garden,"GS Bapat Road, West Pune",4.2,1000
5920,La Mesa Cafe,"CS Nagar, West Pune",5.0,400
5921,S,"SK at Eternia RoofTopICC Trade Tower,Senapati Bapat Road, West Pune",3.9,2000
5922,Mad Over Donuts,"DT Pavillion Mall,Shivaji Nagar, West Pune",4.4,500
5923,NH 37 Dhaba,"DS Nagar, West Pune",4.4,1500
5924,Wok Toss,TG West Pune,4.7,1000
5925,Chimichurri,"CO Center Point Mall,Shivaji Nagar, West Pune",4.6,1400
5926,Fountain House,HG West Pune,4.4,1500
5927,Urban Tadka,"TS Nagar, West Pune",4.6,1100
5928,Pop Tate's,"TS Nagar, West Pune",4.4,1900
5929,Shahi Bhoj Thali Restaurant,"RS Nagar, West Pune",4.1,800
5930,Little Italy,"IS Nagar, West Pune",4.1,1500
5931,TGI Friday's,"FT Pavillion Mall,Shivaji Nagar, West Pune",4.2,2900
5932,The Poppa Cafe,"CS Bapat Road, West Pune",4.0,400
5933,Mamagoto,"MT Pavillion Mall,Shivaji Nagar, West Pune",4.4,1500
5934,Madeline,"MS Nagar, West Pune",4.4,900
5935,Cafe Deja Vu,"VS Nagar, West Pune",5.0,600
5936,Agent Jack's Bar,"BI Trade Tower,Senapati Bapat Road, West Pune",3.9,1200
5937,Mughal's,"MF Road, West Pune",5.0,1000
5938,The Iraj | Crazy Sizzlers,"SS Nagar, West Pune",5.0,1000
5939,Oregano,"OT Ambience Hotel,Model Colony, West Pune",4.9,1200
5940,High Garden,"GS Bapat Road, West Pune",4.2,1000
5941,La Mesa Cafe,"CS Nagar, West Pune",5.0,400
5942,S,"SK at Eternia RoofTopICC Trade Tower,Senapati Bapat Road, West Pune",3.9,2000
5943,Mad Over Donuts,"DT Pavillion Mall,Shivaji Nagar, West Pune",4.4,500
5944,NH 37 Dhaba,"DS Nagar, West Pune",4.4,1500
5945,Wok Toss,TG West Pune,4.7,1000
5946,Chimichurri,"CO Center Point Mall,Shivaji Nagar, West Pune",4.6,1400
5947,Fountain House,HG West Pune,4.4,1500
